Ticker,symbol,company_name,sector,sub_industry,daily_mean,daily_vol,annual_return_est,annual_vol_est,min_daily_return,max_daily_return
BX,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,0.0012221385450703547,0.024614094887598654,0.30797891335772937,0.3907366429171943,-0.15395994121540335,0.166250584849448
CASY,CASY,Casey's,Consumer Staples,Food Retail,0.0012077100234261463,0.018100825184613523,0.30434292590338885,0.28734169178125313,-0.1445759490498899,0.16721283089803918
GS,GS,Goldman Sachs,Financials,Investment Banking & Brokerage,0.0012073122676017017,0.019977722190846408,0.3042426914356288,0.31713650807109633,-0.12705282128332718,0.17580286840441262
MS,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,0.001195173567943954,0.021079225027274703,0.3011837391218764,0.3346223235128255,-0.1560000498712113,0.19770042445809488
VLO,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,0.0011949378596159735,0.028040919618643686,0.30112434062322535,0.4451357990669,-0.19220863987120507,0.31202558702953853
APA,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,0.0011909602584831266,0.040657018482957046,0.3001219851377479,0.6454101597315653,-0.5386473227018648,0.2946638284405747
PHM,PHM,PulteGroup,Consumer Discretionary,Homebuilding,0.0011867430917808694,0.024997469784193184,0.2990592591287791,0.3968225307289596,-0.2112677149738187,0.2446445875157952
EQT,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,0.001182617912582211,0.03345046578397712,0.29801971397071714,0.5310096822220721,-0.18657698749710272,0.3731990469198263
KEYS,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,0.0011822970664992583,0.02175324452430747,0.29793886075781306,0.3453220513205707,-0.13782077650099755,0.23053065708705356
META,META,Meta Platforms,Communication Services,Interactive Media & Services,0.0011743604311525763,0.026409660910140995,0.29593882865044924,0.41924036986666086,-0.263900860550321,0.23282409014359717
NRG,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,0.0011737894373761743,0.024819750065375984,0.29579493821879593,0.39400131765458385,-0.16712682727941375,0.2621301075905884
DVN,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,0.0011729605069827186,0.03345894260645932,0.2955860477596451,0.5311442476072478,-0.37397166762280354,0.21072124014368354
NUE,NUE,Nucor,Materials,Steel,0.0011705811814171497,0.024241583952776556,0.29498645771712173,0.3848232151520455,-0.1450894082640879,0.15994742554023755
NXPI,NXPI,NXP Semiconductors,Information Technology,Semiconductors,0.0011674617958171212,0.027537992575549494,0.2942003725459146,0.43715207976508225,-0.1938063740545557,0.25547984186068873
HUBB,HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,0.0011590990975622016,0.019506890541280065,0.2920929725856748,0.3096622873463112,-0.12418086789618799,0.13735485401834158
ODFL,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,0.0011571663585177457,0.02224876133536334,0.2916059223464719,0.3531881368356044,-0.12972908748519252,0.1279076995784325
IRM,IRM,Iron Mountain,Real Estate,Other Specialized REITs,0.0011486374240044718,0.020049316825227707,0.2894566308491269,0.31827303765777337,-0.15039658277659007,0.11998187252311299
ADI,ADI,Analog Devices,Information Technology,Semiconductors,0.0011448199192483856,0.022126654628971537,0.28849461965059314,0.35124975296444905,-0.16614870923251623,0.18387630231408503
CMI,CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,0.0011437814074796448,0.018689538846075573,0.2882329146848705,0.29668723143118225,-0.11778834668892346,0.21146357973465757
DHI,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,0.001137515208875148,0.024358707407420674,0.2866538326365373,0.38668249235413205,-0.20228998176212087,0.16979119937653597
CRH,CRH,CRH plc,Materials,Construction Materials,0.0011353549136355137,0.02079205550176602,0.2861094382361494,0.3300636486211511,-0.1795709970311009,0.13330028984478992
AMP,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,0.0011335164921524646,0.022785950627765034,0.2856461560224211,0.36171575248357424,-0.23822131291024862,0.22635790205717576
FANG,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,0.0011305974787082904,0.03343898975047409,0.28491056463448916,0.5308275058379534,-0.4464579946692957,0.3096202609917602
ALB,ALB,Albemarle Corporation,Materials,Specialty Chemicals,0.001107696474058148,0.03360768433846731,0.2791395114626533,0.5335054494020688,-0.19910578738966644,0.1912923678313616
JCI,JCI,Johnson Controls,Industrials,Building Products,0.0011045941306722278,0.01839866229865378,0.2783577209294014,0.29206970939098736,-0.13320091748196705,0.11282186476329503
BKR,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,0.0011021527783621346,0.026162687586735057,0.27774250014725793,0.4153197899014654,-0.22263670414501524,0.20578776428440038
TDG,TDG,TransDigm Group,Industrials,Aerospace & Defense,0.0010951149296544794,0.023103346629548764,0.27596896227292883,0.36675425781065,-0.2197390912603615,0.24402956685635502
SYF,SYF,Synchrony Financial,Financials,Consumer Finance,0.001084793659366958,0.02686104308204422,0.2733680021604734,0.42640583970528567,-0.26025685036327917,0.1881379951006641
