Ticker,symbol,company_name,sector,missing_ratio_after_clean,days_abs_return_gt_30pct
NDSN,NDSN,Nordson Corporation,Industrials,0.0,0
NEE,NEE,NextEra Energy,Utilities,0.0,0
NEM,NEM,Newmont,Materials,0.0,0
NFLX,NFLX,Netflix,Communication Services,0.0,1
NI,NI,NiSource,Utilities,0.0,0
NKE,NKE,"Nike, Inc.",Consumer Discretionary,0.0,0
NOC,NOC,Northrop Grumman,Industrials,0.0,0
NOW,NOW,ServiceNow,Information Technology,0.0,0
NRG,NRG,NRG Energy,Utilities,0.0,0
NSC,NSC,Norfolk Southern,Industrials,0.0,0
NTAP,NTAP,NetApp,Information Technology,0.0,0
NTRS,NTRS,Northern Trust,Financials,0.0,0
NUE,NUE,Nucor,Materials,0.0,0
NVDA,NVDA,Nvidia,Information Technology,0.0,0
NVR,NVR,"NVR, Inc.",Consumer Discretionary,0.0,0
NWS,NWS,News Corp (Class B),Communication Services,0.0,0
NWSA,NWSA,News Corp (Class A),Communication Services,0.0,0
NXPI,NXPI,NXP Semiconductors,Information Technology,0.0,0
O,O,Realty Income,Real Estate,0.0,0
ODFL,ODFL,Old Dominion,Industrials,0.0,0
OKE,OKE,Oneok,Energy,0.0,2
OMC,OMC,Omnicom Group,Communication Services,0.0,0
ON,ON,ON Semiconductor,Information Technology,0.0,0
ORCL,ORCL,Oracle Corporation,Information Technology,0.0,1
ORLY,ORLY,O’Reilly Automotive,Consumer Discretionary,0.0,0
OTIS,OTIS,Otis Worldwide,Industrials,0.16558089033659065,0
OXY,OXY,Occidental Petroleum,Energy,0.0,2
PANW,PANW,Palo Alto Networks,Information Technology,0.0,0
PAYX,PAYX,Paychex,Industrials,0.0,0
PCAR,PCAR,Paccar,Industrials,0.0,0
PCG,PCG,PG&E Corporation,Utilities,0.0,4
PEG,PEG,Public Service Enterprise Group,Utilities,0.0,0
PEP,PEP,PepsiCo,Consumer Staples,0.0,0
PFE,PFE,Pfizer,Health Care,0.0,0
PFG,PFG,Principal Financial Group,Financials,0.0,0
PG,PG,Procter & Gamble,Consumer Staples,0.0,0
PGR,PGR,Progressive Corporation,Financials,0.0,0
PH,PH,Parker Hannifin,Industrials,0.0,0
PHM,PHM,PulteGroup,Consumer Discretionary,0.0,0
PKG,PKG,Packaging Corporation of America,Materials,0.0,0
PLD,PLD,Prologis,Real Estate,0.0,0
PLTR,PLTR,Palantir Technologies,Information Technology,0.23887079261672095,1
PM,PM,Philip Morris International,Consumer Staples,0.0,0
PNC,PNC,PNC Financial Services,Financials,0.0,0
PNR,PNR,Pentair,Industrials,0.0,0
PNW,PNW,Pinnacle West Capital,Utilities,0.0,0
PODD,PODD,Insulet Corporation,Health Care,0.0,0
POOL,POOL,Pool Corporation,Consumer Discretionary,0.0,0
PPG,PPG,PPG Industries,Materials,0.0,0
PPL,PPL,PPL Corporation,Utilities,0.0,0
PRU,PRU,Prudential Financial,Financials,0.0,0
PSA,PSA,Public Storage,Real Estate,0.0,0
PSKY,PSKY,Paramount Skydance Corporation,Communication Services,0.0,2
PSX,PSX,Phillips 66,Energy,0.0,0
PTC,PTC,PTC Inc.,Information Technology,0.0,0
PWR,PWR,Quanta Services,Industrials,0.0,0
PYPL,PYPL,PayPal,Financials,0.0,0
QCOM,QCOM,Qualcomm,Information Technology,0.0,0
RCL,RCL,Royal Caribbean Group,Consumer Discretionary,0.0,1
REG,REG,Regency Centers,Real Estate,0.0,1
REGN,REGN,Regeneron Pharmaceuticals,Health Care,0.0,0
RF,RF,Regions Financial Corporation,Financials,0.0,0
RJF,RJF,Raymond James Financial,Financials,0.0,0
RL,RL,Ralph Lauren Corporation,Consumer Discretionary,0.0,0
RMD,RMD,ResMed,Health Care,0.0,0
ROK,ROK,Rockwell Automation,Industrials,0.0,0
ROL,ROL,"Rollins, Inc.",Industrials,0.0,0
ROP,ROP,Roper Technologies,Information Technology,0.0,0
ROST,ROST,Ross Stores,Consumer Discretionary,0.0,0
RSG,RSG,Republic Services,Industrials,0.0,0
RTX,RTX,RTX Corporation,Industrials,0.0,0
RVTY,RVTY,Revvity,Health Care,0.0,0
SATS,SATS,EchoStar,Communication Services,0.0,4
SBAC,SBAC,SBA Communications,Real Estate,0.0,0
SBUX,SBUX,Starbucks,Consumer Discretionary,0.0,0
SCHW,SCHW,Charles Schwab Corporation,Financials,0.0,0
SHW,SHW,Sherwin-Williams,Materials,0.0,0
SJM,SJM,J.M. Smucker Company (The),Consumer Staples,0.0,0
SLB,SLB,Schlumberger,Energy,0.0,0
SMCI,SMCI,Supermicro,Information Technology,0.0,6
SNA,SNA,Snap-on,Industrials,0.0,0
SNDK,SNDK,Sandisk,Information Technology,0.8349619978284474,0
SNPS,SNPS,Synopsys,Information Technology,0.0,1
SO,SO,Southern Company,Utilities,0.0,0
SOLV,SOLV,Solventum,Health Care,0.7144408251900108,0
SPG,SPG,Simon Property Group,Real Estate,0.0,0
SPGI,SPGI,S&P Global,Financials,0.0,0
SRE,SRE,Sempra,Utilities,0.0,0
STE,STE,Steris,Health Care,0.0,0
STLD,STLD,Steel Dynamics,Materials,0.0,0
STT,STT,State Street Corporation,Financials,0.0,0
STX,STX,Seagate Technology,Information Technology,0.0,0
STZ,STZ,Constellation Brands,Consumer Staples,0.0,0
SW,SW,Smurfit Westrock,Materials,0.0,0
SWK,SWK,Stanley Black & Decker,Industrials,0.0,0
SWKS,SWKS,Skyworks Solutions,Information Technology,0.0,0
SYF,SYF,Synchrony Financial,Financials,0.0,0
SYK,SYK,Stryker Corporation,Health Care,0.0,0
SYY,SYY,Sysco,Consumer Staples,0.0,0
T,T,AT&T,Communication Services,0.0,0
TAP,TAP,Molson Coors Beverage Company,Consumer Staples,0.0,0
TDG,TDG,TransDigm Group,Industrials,0.0,0
TDY,TDY,Teledyne Technologies,Information Technology,0.0,0
TECH,TECH,Bio-Techne,Health Care,0.0,0
TEL,TEL,TE Connectivity,Information Technology,0.0,0
TER,TER,Teradyne,Information Technology,0.0,0
TFC,TFC,Truist Financial,Financials,0.0,0
TGT,TGT,Target Corporation,Consumer Staples,0.0,0
TJX,TJX,TJX Companies,Consumer Discretionary,0.0,0
TKO,TKO,TKO Group Holdings,Communication Services,0.0,0
TMO,TMO,Thermo Fisher Scientific,Health Care,0.0,0
TMUS,TMUS,T-Mobile US,Communication Services,0.0,0
TPL,TPL,Texas Pacific Land Corporation,Energy,0.0,0
TPR,TPR,"Tapestry, Inc.",Consumer Discretionary,0.0,0
TRGP,TRGP,Targa Resources,Energy,0.0,3
TRMB,TRMB,Trimble Inc.,Information Technology,0.0,0
TROW,TROW,T. Rowe Price,Financials,0.0,0
TRV,TRV,Travelers Companies (The),Financials,0.0,0
TSCO,TSCO,Tractor Supply,Consumer Discretionary,0.0,0
TSLA,TSLA,"Tesla, Inc.",Consumer Discretionary,0.0,0
TSN,TSN,Tyson Foods,Consumer Staples,0.0,0
TT,TT,Trane Technologies,Industrials,0.0,0
TTD,TTD,Trade Desk (The),Communication Services,0.0,5
TTWO,TTWO,Take-Two Interactive,Communication Services,0.0,0
TXN,TXN,Texas Instruments,Information Technology,0.0,0
TXT,TXT,Textron,Industrials,0.0,0
TYL,TYL,Tyler Technologies,Information Technology,0.0,0
UAL,UAL,United Airlines Holdings,Industrials,0.0,1
UBER,UBER,Uber,Industrials,0.048317046688382194,1
UDR,UDR,"UDR, Inc.",Real Estate,0.0,0
UHS,UHS,Universal Health Services,Health Care,0.0,0
ULTA,ULTA,Ulta Beauty,Consumer Discretionary,0.0,0
UNH,UNH,UnitedHealth Group,Health Care,0.0,0
UNP,UNP,Union Pacific Corporation,Industrials,0.0,0
UPS,UPS,United Parcel Service,Industrials,0.0,0
URI,URI,United Rentals,Industrials,0.0,0
USB,USB,U.S. Bancorp,Financials,0.0,0
V,V,Visa Inc.,Financials,0.0,0
VICI,VICI,Vici Properties,Real Estate,0.0,0
VLO,VLO,Valero Energy,Energy,0.0,1
VLTO,VLTO,Veralto,Industrials,0.6498371335504886,0
VMC,VMC,Vulcan Materials Company,Materials,0.0,0
VRSK,VRSK,Verisk Analytics,Industrials,0.0,0
VRSN,VRSN,Verisign,Information Technology,0.0,0
VRT,VRT,Vertiv,Industrials,0.0,1
VRTX,VRTX,Vertex Pharmaceuticals,Health Care,0.0,0
VST,VST,Vistra Corp.,Utilities,0.0,0
VTR,VTR,Ventas,Real Estate,0.0,0
VTRS,VTRS,Viatris,Health Care,0.0,0
VZ,VZ,Verizon,Communication Services,0.0,0
WAB,WAB,Wabtec,Industrials,0.0,0
WAT,WAT,Waters Corporation,Health Care,0.0,0
WBD,WBD,Warner Bros. Discovery,Communication Services,0.0,0
WDAY,WDAY,"Workday, Inc.",Information Technology,0.0,0
WDC,WDC,Western Digital,Information Technology,0.0,0
WEC,WEC,WEC Energy Group,Utilities,0.0,0
WELL,WELL,Welltower,Real Estate,0.0,0
WFC,WFC,Wells Fargo,Financials,0.0,0
WM,WM,Waste Management,Industrials,0.0,0
WMB,WMB,Williams Companies,Energy,0.0,0
WMT,WMT,Walmart,Consumer Staples,0.0,0
WRB,WRB,W. R. Berkley Corporation,Financials,0.0,0
WSM,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,0.0,0
WST,WST,West Pharmaceutical Services,Health Care,0.0,1
WTW,WTW,Willis Towers Watson,Financials,0.0,0
WY,WY,Weyerhaeuser,Real Estate,0.0,0
WYNN,WYNN,Wynn Resorts,Consumer Discretionary,0.0,0
