ticker,cluster_id,symbol,company_name,sector,sub_industry,observations,annual_return,annual_volatility,risk_free_rate,excess_annual_return,sharpe_ratio,selected,mst_degree
BIIB,23,BIIB,Biogen,Health Care,Biotechnology,1842,-0.06292550102933814,0.4456386771679092,0.0368,-0.09972550102933814,-0.2237810722873213,False,1
MSI,24,MSI,Motorola Solutions,Information Technology,Communications Equipment,1842,0.21671164735310522,0.26670190492683776,0.0368,0.17991164735310522,0.6745795362896225,True,1
CTAS,24,CTAS,Cintas,Industrials,Diversified Support Services,1842,0.22745515258003968,0.28400034619223197,0.0368,0.19065515258003968,0.6713201414585266,False,7
NDAQ,24,NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,1842,0.19983112130185643,0.26468750491341364,0.0368,0.16303112130185643,0.6159381091872405,False,2
MSCI,24,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,1842,0.22301393042950624,0.3383868156232446,0.0368,0.18621393042950624,0.5502990123493298,False,2
FICO,24,FICO,Fair Isaac,Information Technology,Application Software,1842,0.26581607609039937,0.41969271215299536,0.0368,0.22901607609039937,0.5456756085078588,False,1
EBAY,24,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,1842,0.20774062772576896,0.32521686814834866,0.0368,0.17094062772576896,0.5256204227629234,False,1
MCO,24,MCO,Moody's Corporation,Financials,Financial Exchanges & Data,1842,0.18746742612479417,0.29959078812756873,0.0368,0.15066742612479417,0.50291074390658,False,7
ORCL,24,ORCL,Oracle Corporation,Information Technology,Application Software,1842,0.21607262112791958,0.3801712716981919,0.0368,0.17927262112791958,0.47155751755550707,False,1
IBM,24,IBM,IBM,Information Technology,IT Consulting & Other Services,1842,0.15647467749693678,0.2750173879014427,0.0368,0.11967467749693678,0.4351531312624651,False,1
V,24,V,Visa Inc.,Financials,Transaction & Payment Processing Services,1842,0.14168167771603568,0.25990945844835217,0.0368,0.10488167771603568,0.4035315926637476,False,1
CPRT,24,CPRT,Copart,Industrials,Diversified Support Services,1842,0.15076254159781532,0.28530869218395655,0.0368,0.11396254159781533,0.3994359257878357,False,1
MA,24,MA,Mastercard,Financials,Transaction & Payment Processing Services,1842,0.15043975406230103,0.28599749741059244,0.0368,0.11363975406230103,0.39734527431599886,False,3
SPGI,24,SPGI,S&P Global,Financials,Financial Exchanges & Data,1842,0.14585557978464436,0.27903938224795954,0.0368,0.10905557978464436,0.3908250473681724,False,4
ICE,24,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,1842,0.11942279088710839,0.23479572321269832,0.0368,0.08262279088710839,0.3518922310704165,False,2
ADP,24,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,1842,0.09243322725909864,0.2572238075878824,0.0368,0.05563322725909864,0.21628335176591748,False,3
BR,24,BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,1842,0.08759406308369555,0.2492519809304351,0.0368,0.05079406308369555,0.20378599557799262,False,3
GEN,24,GEN,Gen Digital,Information Technology,Systems Software,1842,0.10278319457785323,0.32439453890243025,0.0368,0.06598319457785323,0.2034041473111831,False,1
VRSN,24,VRSN,Verisign,Information Technology,Internet Services & Infrastructure,1842,0.08861516587025253,0.2684766721087373,0.0368,0.05181516587025253,0.19299690160516653,False,1
EFX,24,EFX,Equifax,Industrials,Research & Consulting Services,1842,0.10027794617466634,0.33120317736257743,0.0368,0.06347794617466634,0.19165862682885815,False,1
VRSK,24,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,1842,0.0836130850587431,0.2577780342792532,0.0368,0.0468130850587431,0.18160230443851577,False,1
PAYX,24,PAYX,Paychex,Industrials,Human Resource & Employment Services,1842,0.08106302662673182,0.27361649616156775,0.0368,0.044263026626731816,0.16177031446450127,False,4
AKAM,24,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,1842,0.08096620181522352,0.32739334841806655,0.0368,0.044166201815223516,0.13490256301366657,False,1
CPAY,24,CPAY,Corpay,Financials,Transaction & Payment Processing Services,1842,0.0717050242889008,0.3454256719746255,0.0368,0.0349050242889008,0.10104930559841215,False,1
ACN,24,ACN,Accenture,Information Technology,IT Consulting & Other Services,1842,0.04926376108367436,0.2874800038313721,0.0368,0.012463761083674363,0.04335522790303448,False,6
ROP,24,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,1842,0.04714378674909203,0.2455249759512118,0.0368,0.010343786749092032,0.042129264890539864,False,1
JKHY,24,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,1842,0.042932368004203525,0.2559970038476791,0.0368,0.006132368004203526,0.023954842877193787,False,1
FDS,24,FDS,FactSet,Financials,Financial Exchanges & Data,1842,0.0317184784056892,0.29324424647564495,0.0368,-0.0050815215943108005,-0.017328631867063213,False,1
IT,24,IT,Gartner,Information Technology,IT Consulting & Other Services,1842,0.024339272920435473,0.3575536648095618,0.0368,-0.012460727079564526,-0.03484994926901753,False,1
EPAM,24,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,1842,0.0001375593131747177,0.5060701155224363,0.0368,-0.03666244068682528,-0.0724453777496369,False,1
CSGP,24,CSGP,CoStar Group,Real Estate,Real Estate Services,1842,0.006381038661537941,0.35137510839047487,0.0368,-0.03041896133846206,-0.08657119019557351,False,1
CTSH,24,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,1842,-0.00817696216635988,0.3025449246833437,0.0368,-0.04497696216635988,-0.14866209444245237,False,1
FISV,24,FISV,Fiserv,Financials,Transaction & Payment Processing Services,1842,-0.01924121634658371,0.3514169294092935,0.0368,-0.05604121634658371,-0.15947215872833717,False,1
GPN,24,GPN,Global Payments,Financials,Transaction & Payment Processing Services,1842,-0.039105552354058104,0.37527528856154524,0.0368,-0.0759055523540581,-0.20226632199793665,False,4
FIS,24,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,1842,-0.08318357022842549,0.33185384841484955,0.0368,-0.11998357022842548,-0.36155545822820884,False,1
HCA,25,HCA,HCA Healthcare,Health Care,Health Care Facilities,1842,0.20204261090732412,0.35173543832750837,0.0368,0.16524261090732412,0.4697923294082844,True,2
DGX,25,DGX,Quest Diagnostics,Health Care,Health Care Services,1842,0.1474453628497865,0.25230482699004075,0.0368,0.11064536284978649,0.43853843055548836,False,1
IDXX,25,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,1842,0.16655012279519132,0.34828110392068845,0.0368,0.12975012279519132,0.3725442504188754,False,5
ISRG,25,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,1842,0.1599382267963343,0.34356012615205034,0.0368,0.1231382267963343,0.3584182721537268,False,5
WST,25,WST,West Pharmaceutical Services,Health Care,Health Care Supplies,1842,0.17102360281565332,0.37723471294647515,0.0368,0.13422360281565332,0.3558092567019355,False,1
DVA,25,DVA,DaVita,Health Care,Health Care Services,1842,0.16284612806567078,0.35698177478020315,0.0368,0.12604612806567078,0.35308841226776494,False,1
LH,25,LH,Labcorp,Health Care,Health Care Services,1842,0.1318531526614748,0.28616468628451214,0.0368,0.0950531526614748,0.33216241282465775,False,2
STE,25,STE,Steris,Health Care,Health Care Equipment,1842,0.11579482099371674,0.27026409694842063,0.0368,0.07899482099371674,0.29228751390086694,False,1
MTD,25,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,1842,0.12393735807956618,0.31671577596043243,0.0368,0.08713735807956619,0.2751279370764667,False,1
TMO,25,TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,1842,0.11406233699455548,0.28111894646561303,0.0368,0.07726233699455548,0.27483859756142887,False,2
SYK,25,SYK,Stryker Corporation,Health Care,Health Care Equipment,1842,0.11123144596524703,0.28255473307384155,0.0368,0.07443144596524703,0.26342310799584256,False,8
DHR,25,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,1842,0.10406633800912357,0.2782746377045149,0.0368,0.06726633800912357,0.24172644177709843,False,2
RMD,25,RMD,ResMed,Health Care,Health Care Equipment,1842,0.09592668758892975,0.3387789094099796,0.0368,0.05912668758892975,0.17452883265934505,False,1
A,25,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,1842,0.08746896704357066,0.2921898203166076,0.0368,0.050668967043570656,0.17341113043797135,False,8
BSX,25,BSX,Boston Scientific,Health Care,Health Care Equipment,1842,0.07194143454378454,0.2812186616036098,0.0368,0.035141434543784544,0.12496124668041396,False,1
WAT,25,WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,1842,0.07364316471516652,0.329500247408949,0.0368,0.03684316471516652,0.11181528695315293,False,1
EW,25,EW,Edwards Lifesciences,Health Care,Health Care Equipment,1842,0.07323886937983382,0.3338312657897639,0.0368,0.036438869379833816,0.10915355484642301,False,1
TECH,25,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,1842,0.06494551442739493,0.3653069872659914,0.0368,0.028145514427394935,0.0770461978787756,False,1
ABT,25,ABT,Abbott Laboratories,Health Care,Health Care Equipment,1842,0.0548968772645535,0.24935690716015516,0.0368,0.0180968772645535,0.07257419684360446,False,2
ZTS,25,ZTS,Zoetis,Health Care,Pharmaceuticals,1842,0.052814224657274256,0.27905354109765107,0.0368,0.016014224657274256,0.05738764179190362,False,1
UHS,25,UHS,Universal Health Services,Health Care,Health Care Facilities,1842,0.05567841468964696,0.3720352643228075,0.0368,0.01887841468964696,0.050743616264469334,False,3
CRL,25,CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,1842,0.05535919314705473,0.41036292353374243,0.0368,0.01855919314705473,0.045226291369689704,False,1
IQV,25,IQV,IQVIA,Health Care,Life Sciences Tools & Services,1842,0.045981635579079194,0.34144702067374605,0.0368,0.009181635579079195,0.026890366654721182,False,3
HSIC,25,HSIC,Henry Schein,Health Care,Health Care Distributors,1842,0.029423708792826853,0.2869807928411402,0.0368,-0.007376291207173147,-0.02570308324172877,False,1
RVTY,25,RVTY,Revvity,Health Care,Health Care Equipment,1842,0.01824802170305828,0.33106685283030435,0.0368,-0.018551978296941718,-0.056036954887933,False,1
MDT,25,MDT,Medtronic,Health Care,Health Care Equipment,1842,0.01578747194447394,0.246115453361489,0.0368,-0.02101252805552606,-0.08537671149264779,False,1
COO,25,COO,Cooper Companies (The),Health Care,Health Care Supplies,1842,-0.0009735000936844651,0.29287834340713575,0.0368,-0.037773500093684464,-0.1289733465924956,False,2
BDX,25,BDX,Becton Dickinson,Health Care,Health Care Equipment,1842,-0.0024733936888632346,0.24951034917989853,0.0368,-0.039273393688863234,-0.15740186255980457,False,2
ZBH,25,ZBH,Zimmer Biomet,Health Care,Health Care Equipment,1842,-0.01572553885149308,0.3014291485570922,0.0368,-0.05252553885149308,-0.1742550085249784,False,1
VTRS,25,VTRS,Viatris,Health Care,Pharmaceuticals,1842,-0.05543335325725318,0.37672584850934343,0.0368,-0.09223335325725318,-0.24482884204046232,False,1
BAX,25,BAX,Baxter International,Health Care,Health Care Equipment,1842,-0.1506204023095037,0.3188026942052076,0.0368,-0.1874204023095037,-0.5878883890136277,False,1
