ticker,cluster_id,symbol,company_name,sector,sub_industry
RJF,17,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage
RL,17,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
SATS,17,SATS,EchoStar,Communication Services,Wireless Telecommunication Services
SCHW,17,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage
STT,17,STT,State Street Corporation,Financials,Asset Management & Custody Banks
SYF,17,SYF,Synchrony Financial,Financials,Consumer Finance
TFC,17,TFC,Truist Financial,Financials,Diversified Banks
TPR,17,TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
UAL,17,UAL,United Airlines Holdings,Industrials,Passenger Airlines
USB,17,USB,U.S. Bancorp,Financials,Diversified Banks
WBD,17,WBD,Warner Bros. Discovery,Communication Services,Broadcasting
WFC,17,WFC,Wells Fargo,Financials,Diversified Banks
WYNN,17,WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming
GEHC,18,GEHC,GE HealthCare,Health Care,Health Care Equipment
MRNA,18,MRNA,Moderna,Health Care,Biotechnology
SOLV,18,SOLV,Solventum,Health Care,Health Care Technology
VLTO,18,VLTO,Veralto,Industrials,Environmental & Facilities Services
AAPL,19,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
ADBE,19,ADBE,Adobe Inc.,Information Technology,Application Software
ADSK,19,ADSK,Autodesk,Information Technology,Application Software
AMZN,19,AMZN,Amazon,Consumer Discretionary,Broadline Retail
APP,19,APP,AppLovin,Information Technology,Application Software
CDNS,19,CDNS,Cadence Design Systems,Information Technology,Application Software
CMG,19,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants
COIN,19,COIN,Coinbase,Financials,Financial Exchanges & Data
CRM,19,CRM,Salesforce,Information Technology,Application Software
CRWD,19,CRWD,CrowdStrike,Information Technology,Systems Software
CVNA,19,CVNA,Carvana,Consumer Discretionary,Automotive Retail
DASH,19,DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services
DDOG,19,DDOG,Datadog,Information Technology,Application Software
DXCM,19,DXCM,Dexcom,Health Care,Health Care Equipment
FTNT,19,FTNT,Fortinet,Information Technology,Systems Software
GDDY,19,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure
GOOG,19,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services
GOOGL,19,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services
HOOD,19,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage
INTU,19,INTU,Intuit,Information Technology,Application Software
META,19,META,Meta Platforms,Communication Services,Interactive Media & Services
MSFT,19,MSFT,Microsoft,Information Technology,Systems Software
NFLX,19,NFLX,Netflix,Communication Services,Movies & Entertainment
NOW,19,NOW,ServiceNow,Information Technology,Systems Software
PANW,19,PANW,Palo Alto Networks,Information Technology,Systems Software
PLTR,19,PLTR,Palantir Technologies,Information Technology,Application Software
PODD,19,PODD,Insulet Corporation,Health Care,Health Care Equipment
PTC,19,PTC,PTC Inc.,Information Technology,Application Software
PYPL,19,PYPL,PayPal,Financials,Transaction & Payment Processing Services
SNPS,19,SNPS,Synopsys,Information Technology,Application Software
TSLA,19,TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers
TTD,19,TTD,Trade Desk (The),Communication Services,Advertising
TYL,19,TYL,Tyler Technologies,Information Technology,Application Software
UBER,19,UBER,Uber,Industrials,Passenger Ground Transportation
WDAY,19,WDAY,"Workday, Inc.",Information Technology,Application Software
