date,equal,inverse_volatility,risk_parity,markowitz_best_sharpe_default,cvar_bootstrap,cvar_montecarlo,benchmark_sp500
2025-10-23,0.19852508083434617,0.19134996385754555,0.18427967321203376,0.1754037482288895,0.1932144766404702,0.13045394150850953,0.15108694663945266
2025-10-24,0.20113090022740798,0.18992692287257285,0.1805329031943017,0.18321075267493203,0.17710327340249776,0.11232932382663452,0.16073450141856394
2025-10-27,0.22326706754655845,0.20937878960360345,0.19554046607035414,0.1993291203228733,0.17890301436067002,0.11343326082840743,0.18589997773120315
2025-10-28,0.22526341114487014,0.2088527370780402,0.20052538431796907,0.19580463134064008,0.17790719282530354,0.12584991528571465,0.18606821831791454
2025-10-29,0.2313142984671721,0.21370527992773036,0.19981355869754625,0.20607730277623526,0.17355795346854896,0.1119410093184523,0.18637178720860748
2025-10-30,0.2313573760630956,0.2132552250154478,0.20182586207166198,0.20627876583317084,0.180722175915619,0.11866138357865696,0.17151479189027663
2025-10-31,0.22697365185987772,0.20928191008340624,0.19916579087027375,0.2029849933534127,0.18434119759191692,0.12168319876407874,0.17268885685536972
2025-11-03,0.22757528271442085,0.21264962133333531,0.19870415821397303,0.21891490266009073,0.18681301419279306,0.12667987615985954,0.17859636114908328
2025-11-04,0.2298876581600886,0.21903710754513894,0.20256363223345963,0.22543588170748396,0.18743861190761568,0.13619380155509364,0.18685635188804106
2025-11-05,0.23891456683149004,0.22645384798400991,0.20949343191422987,0.24041694728576046,0.1951077299550099,0.1432647418898121,0.18633750013424244
2025-11-06,0.23119290508117496,0.21884771977620598,0.2041126534979003,0.23625934934336912,0.1946233238894115,0.14251355388119014,0.1763844866687201
2025-11-07,0.2229891242671933,0.2126861198805985,0.19914218241519244,0.21712411110438068,0.1911245642910322,0.1386849713864462,0.1635966350679372
2025-11-10,0.2228017559709059,0.21442920153045164,0.20183441288768877,0.22613904867310408,0.19701695899814653,0.15001651285213846,0.1523670157001673
2025-11-11,0.21918386599611228,0.21033202596858502,0.2005941576653918,0.20122089492004114,0.20367335143812904,0.16172846497874782,0.14624060393157623
2025-11-12,0.21031434229018076,0.19797812929741254,0.19313736607395016,0.18387331845824173,0.197441958560846,0.15700453170104622,0.14266936376698092
2025-11-13,0.19827947574767268,0.1888578642083918,0.1860080523396277,0.17015221090317278,0.19560945036883526,0.16434985128086477,0.12266242174510866
2025-11-14,0.20600947109754908,0.19512502209436677,0.1922669823973533,0.18364445067122293,0.19658916915435953,0.16558679405112398,0.1253544206334425
2025-11-17,0.19972697142036067,0.18840837164503355,0.1864090121406392,0.1758188229867217,0.19263931483092644,0.16192171530314514,0.11478473996452232
2025-11-18,0.2126720248890719,0.1994665443052146,0.1995486315222259,0.19932736570294285,0.20400245787780236,0.17341635084133378,0.11230976944984916
2025-11-19,0.22285151593684183,0.20777095369413545,0.2072113267113782,0.2262716154794202,0.21206845588884016,0.18115235493106518,0.13142394221756226
2025-11-20,0.18051519483615786,0.17319075266570527,0.1680544410766942,0.18310333489782482,0.17840445987676068,0.14972193330375716,0.10946407057287177
2025-11-21,0.18226391701496558,0.17683862962458274,0.17257639573643035,0.16507733704752692,0.18528913076310705,0.1625302907883055,0.11593925552743145
2025-11-24,0.19394851465833463,0.18352749561590365,0.17832094911614416,0.17726738822563104,0.17581611164078814,0.15026086575190178,0.13317485598776457
2025-11-25,0.20020038861755385,0.19033473886168806,0.1852335171675914,0.17523928835844527,0.1785729594276939,0.15916917758141014,0.1373692661503063
2025-11-26,0.21191119677831582,0.2003156419090979,0.19553387048341153,0.187609130369627,0.18950340375672514,0.16373478856952595,0.14126688069438265
2025-11-28,0.2169702820474535,0.20274487909723504,0.19778803303411485,0.20100815991073984,0.18860241723957283,0.16016346569037787,0.1439229093402521
2025-12-01,0.19825188192185417,0.1832087224496599,0.17978751974186702,0.1770084578410056,0.16721299201132966,0.14160310994188285,0.13135978387807468
2025-12-02,0.19719150251584083,0.18221368280023564,0.1770597022311038,0.17872022343055805,0.1622816689104456,0.1361831672966689,0.13846738654437618
2025-12-03,0.18898215239661176,0.17291116760755543,0.16939210738588106,0.15921185509196345,0.1555669313042949,0.13169396856966475,0.13549218515896544
2025-12-04,0.19603555997798372,0.17832948510157243,0.17483014564410126,0.1668673825264373,0.15963449825975462,0.13624777129303567,0.13394247338400334
2025-12-05,0.19946589062598008,0.1780025017956739,0.1753938451082353,0.16638350761774356,0.15706737636797174,0.1283644556002268,0.1356258364504599
2025-12-08,0.20102700392861395,0.1782276720443019,0.1766211387731762,0.16412430334258432,0.15771665731121765,0.12624310101329783,0.12486991714167361
2025-12-09,0.19524204232443587,0.1750118021735687,0.1729531274764171,0.15493478017251072,0.15927055668664147,0.12843046200011754,0.1259894750167294
2025-12-10,0.2039483295282225,0.18081997857406473,0.17951568240851534,0.16704613856810102,0.1644992581475413,0.1323255689237448,0.1307676266727018
2025-12-11,0.23814902641318092,0.21435399331511773,0.21372680745246608,0.2126200409177017,0.20085460090495744,0.16600569067465942,0.14012405538874417
2025-12-12,0.2350880846980774,0.2111988706457304,0.2119953349359267,0.20722135563807886,0.20342729547786487,0.16797753025154805,0.1313192706239812
2025-12-15,0.2305276102798346,0.20929689404270757,0.21004092721997036,0.19743194548546006,0.21042756025419562,0.17187171778197907,0.12036439218225614
2025-12-16,0.23363359285625052,0.21069336464289634,0.21040704196775328,0.1958389073459883,0.20715939415557605,0.16853044084605306,0.12377769314191656
2025-12-17,0.23606057761332977,0.21395489608064078,0.21697337298257335,0.17287992912582117,0.21597933947206238,0.17724143363171052,0.1107800990136738
2025-12-18,0.24585479581598801,0.22123910594351437,0.22350616915668642,0.1894799487273673,0.21906055874659192,0.17827283562682972,0.11535568818452324
2025-12-19,0.27169165181692434,0.23980109007890182,0.24391039293724548,0.2299628069116486,0.23210672348746075,0.19060644845227825,0.12955555794067575
2025-12-22,0.31157672197427355,0.2734705757525413,0.28086783051939856,0.2810933045130548,0.26952644135789416,0.23030760697076436,0.17137306397440955
2025-12-23,0.3164550762285836,0.28265241895793713,0.2878818504721621,0.27958101543278735,0.2766745703319724,0.24079293073683972,0.17772212873405047
2025-12-24,0.3061274410801931,0.2742682243765533,0.2786462936040748,0.26432542050434615,0.270381879202811,0.23351364339323322,0.1688121754125793
2025-12-26,0.30497981320918166,0.27485927615755457,0.27893664421338493,0.2589732322600158,0.2684102404548616,0.23199659082307478,0.16000317125729402
2025-12-29,0.28690730349170224,0.25896877112050065,0.26113988516619524,0.23771148818174215,0.24874375463858578,0.21244284557375503,0.14332689679435906
2025-12-30,0.2825317152346474,0.25582156619269214,0.25772577201187175,0.23541465876569845,0.24824012572337772,0.21234631524480596,0.14221741006700883
