rebalance_date,method,ticker,weight
2024-01-31,inverse_volatility,LLY,0.0433190351338222
2024-01-31,inverse_volatility,MSI,0.04638789130048985
2024-01-31,inverse_volatility,HCA,0.034997426281462025
2024-01-31,risk_parity,PM,0.044909172122831104
2024-01-31,risk_parity,TGT,0.036138682474908396
2024-01-31,risk_parity,COST,0.04562906958639204
2024-01-31,risk_parity,KR,0.06794241706824419
2024-01-31,risk_parity,IRM,0.03575576488096161
2024-01-31,risk_parity,MCD,0.046202791464401094
2024-01-31,risk_parity,TMUS,0.041691621707294825
2024-01-31,risk_parity,CBOE,0.04947722870726071
2024-01-31,risk_parity,PGR,0.04770856528459397
2024-01-31,risk_parity,STX,0.030982687533796145
2024-01-31,risk_parity,NEM,0.05921728682026474
2024-01-31,risk_parity,NVDA,0.021916481807193435
2024-01-31,risk_parity,VRT,0.026959478093290266
2024-01-31,risk_parity,TKO,0.0391591277186033
2024-01-31,risk_parity,SW,0.050795504486765786
2024-01-31,risk_parity,PWR,0.03164316352097407
2024-01-31,risk_parity,HWM,0.027432551112812734
2024-01-31,risk_parity,MRNA,0.032937019730450136
2024-01-31,risk_parity,AAPL,0.031275124570198654
2024-01-31,risk_parity,EA,0.05013635382387074
2024-01-31,risk_parity,STLD,0.02640654184655754
2024-01-31,risk_parity,MCK,0.041418268225394114
2024-01-31,risk_parity,LLY,0.047726504737000935
2024-01-31,risk_parity,MSI,0.03529495579958862
2024-01-31,risk_parity,HCA,0.03124363687635088
2024-01-31,markowitz_best_sharpe_default,PM,1.6319113619448208e-16
2024-01-31,markowitz_best_sharpe_default,TGT,1.6260309430771717e-16
2024-01-31,markowitz_best_sharpe_default,COST,0.0999999999999999
2024-01-31,markowitz_best_sharpe_default,KR,0.031197211422724982
2024-01-31,markowitz_best_sharpe_default,IRM,0.0
2024-01-31,markowitz_best_sharpe_default,MCD,2.928227254816994e-17
2024-01-31,markowitz_best_sharpe_default,TMUS,7.647393571917314e-17
2024-01-31,markowitz_best_sharpe_default,CBOE,8.111319103920868e-17
2024-01-31,markowitz_best_sharpe_default,PGR,0.09999999999999995
2024-01-31,markowitz_best_sharpe_default,STX,5.623408186949732e-17
2024-01-31,markowitz_best_sharpe_default,NEM,7.588492479912037e-17
2024-01-31,markowitz_best_sharpe_default,NVDA,0.09999999999999984
2024-01-31,markowitz_best_sharpe_default,VRT,0.09999999999999992
2024-01-31,markowitz_best_sharpe_default,TKO,6.21012416056545e-17
2024-01-31,markowitz_best_sharpe_default,SW,0.04434971782821118
2024-01-31,markowitz_best_sharpe_default,PWR,0.09999999999999983
2024-01-31,markowitz_best_sharpe_default,HWM,0.016571632371885203
